time,S,I,R
0.0,990.0,10.0,0.0
0.5,2.305934331259632e-59,952.691437497963,47.30856250203648
1.0,6.767460017604639e-120,906.2281278179436,93.77187218205435
1.5,1.7762600992666034e-177,862.0308604906229,137.96913950937585
2.0,2.994367642123419e-232,819.989119326351,180.01088067364833
2.5,2.365982772095264e-284,779.9977780736521,220.0022219263471
3.0,5.0e-324,741.9568375488346,258.0431624511634
3.5,5.0e-324,705.7711755859474,294.2288244140503
4.0,5.0e-324,671.3503091818126,328.6496908181846
4.5,5.0e-324,638.6081682413918,361.39183175860506
5.0,5.0e-324,607.4628803577151,392.5371196422823
5.5,5.0e-324,577.836566088224,422.16343391177185
6.0,5.0e-324,549.6551442155792,450.34485578441644
6.5,5.0e-324,522.8481465060519,477.151853493944
7.0,5.0e-324,497.34854150222503,502.6514584977707
7.5,5.0e-324,473.0925669094393,526.9074330905556
8.0,5.0e-324,450.0195701568387,549.9804298431551
8.5,5.0e-324,428.0718567343484,571.9281432656463
9.0,5.0e-324,407.19454592636623,592.8054540736283
9.5,5.0e-324,387.33543358136706,612.6645664186264
10.0,5.0e-324,368.44486157429725,631.5551384256954
10.5,5.0e-324,350.4755936355635,649.524406364427
11.0,5.0e-324,333.3826972355032,666.6173027644879
11.5,5.0e-324,317.1234312298234,682.8765687701681
12.0,5.0e-324,301.65713898440305,698.3428610155895
12.5,5.0e-324,286.94514671266563,713.0548532873248
13.0,5.0e-324,272.9506667707619,727.0493332292289
13.5,5.0e-324,259.63870566943865,740.3612943305527
14.0,5.0e-324,246.97597657202303,753.0240234279679
14.5,5.0e-324,234.93081606010736,765.0691839398845
15.0,5.0e-324,223.47310495833915,776.5268950416543
15.5,5.0e-324,212.5741930209087,787.4258069790843
16.0,5.0e-324,202.20682729096032,797.7931727090325
16.5,5.0e-324,192.3450839541071,807.6549160458857
17.0,5.0e-324,182.9643035152183,817.0356964847754
17.5,5.0e-324,174.0410291369657,825.9589708630276
18.0,5.0e-324,165.552947985478,834.4470520145153
18.5,5.0e-324,157.47883543663252,842.5211645633619
19.0,5.0e-324,149.79850200343972,850.2014979965552
19.5,5.0e-324,142.4927428518099,857.5072571481859
20.0,5.0e-324,135.54328977846373,864.4567102215318
20.5,5.0e-324,128.93276553090936,871.0672344690865
21.0,5.0e-324,122.64464035526001,877.3553596447351
21.5,5.0e-324,116.6631906632382,883.3368093367575
22.0,5.0e-324,110.973459715016,889.0265402849802
22.5,5.0e-324,105.5612202195743,894.4387797804218
23.0,5.0e-324,100.41293875906496,899.5870612409315
23.5,5.0e-324,95.51574194821646,904.4842580517792
24.0,5.0e-324,90.85738424416616,909.1426157558295
24.5,5.0e-324,86.42621732622352,913.5737826737713
25.0,5.0e-324,82.21116096900214,917.7888390309924
25.5,5.0e-324,78.20167533608418,921.7983246639111
26.0,5.0e-324,74.38773462493954,925.6122653750556
26.5,5.0e-324,70.7598019971975,929.2401980027976
27.0,5.0e-324,67.30880573158267,932.6911942684116
27.5,5.0e-324,64.0261165398877,935.9738834601053
28.0,5.0e-324,60.90352598925673,939.0964740107355
28.5,5.0e-324,57.933225976828496,942.066774023165
29.0,5.0e-324,55.107789205411706,944.8922107945806
29.5,5.0e-324,52.4201506113736,947.5798493886182
30.0,5.0e-324,49.863589698300714,950.1364103016901
30.5,5.0e-324,47.4317137322572,952.5682862677328
31.0,5.0e-324,45.1184417566204,954.8815582433693
31.5,5.0e-324,42.917989386521654,957.0820106134681
32.0,5.0e-324,40.82485434487129,959.1751456551191
32.5,5.0e-324,38.833802703792834,961.1661972961982
33.0,5.0e-324,36.93985579709884,963.0601442028918
33.5,5.0e-324,35.13827777100958,964.8617222289806
34.0,5.0e-324,33.42456374205975,966.5754362579295
34.5,5.0e-324,31.794428532543215,968.2055714674453
35.0,5.0e-324,30.24379595533663,969.7562040446522
35.5,5.0e-324,28.768788621308513,971.2312113786807
36.0,5.0e-324,27.365718243826812,972.6342817561614
36.5,5.0e-324,26.031076416121014,973.9689235838679
37.0,5.0e-324,24.761525838437983,975.23847416155
37.5,5.0e-324,23.553891973054167,976.4461080269336
38.0,5.0e-324,22.40515510627764,977.5948448937096
38.5,5.0e-324,21.31244279759125,978.6875572023961
39.0,5.0e-324,20.27302269705473,979.7269773029317
39.5,5.0e-324,19.284295713007058,980.7157042869799
40.0,5.0e-324,18.34378951298313,981.6562104870043
40.5,5.0e-324,17.449152341595116,982.5508476583933
41.0,5.0e-324,16.59814713991888,983.4018528600682
41.5,5.0e-324,15.788645951681387,984.2113540483058
42.0,5.0e-324,15.018624602261657,984.9813753977253
42.5,5.0e-324,14.286157637199942,985.7138423627872
43.0,5.0e-324,13.589413507558607,986.4105864924296
43.5,5.0e-324,12.926649990095711,987.0733500098921
44.0,5.0e-324,12.296209830799464,987.703790169189
44.5,5.0e-324,11.696516600890023,988.3034833990985
45.0,5.0e-324,11.126070754926372,988.8739292450617
45.5,5.0e-324,10.583445881161612,989.4165541188272
46.0,5.0e-324,10.067285134770646,989.9327148652173
46.5,5.0e-324,9.576297845031377,990.4237021549555
47.0,5.0e-324,9.109256287975558,990.8907437120093
47.5,5.0e-324,8.664992616439488,991.3350073835455
48.0,5.0e-324,8.24239593983771,991.757604060145
48.5,5.0e-324,7.840409546357933,992.1595904536248
49.0,5.0e-324,7.4580282606310995,992.541971739351
49.5,5.0e-324,7.094295930269351,992.9057040697123
50.0,5.0e-324,6.74830303498709,993.2516969649943
50.5,5.0e-324,6.419184412326444,993.5808155876541
51.0,5.0e-324,6.1061170943005285,993.8938829056801
51.5,5.0e-324,5.808318249544789,994.1916817504357
52.0,5.0e-324,5.525043225830851,994.4749567741491
52.5,5.0e-324,5.255583688048042,994.7444163119309
53.0,5.0e-324,4.999265846996689,995.000734152982
53.5,5.0e-324,4.75544877456418,995.2445512254142
54.0,5.0e-324,4.52352280107078,995.4764771989087
54.5,5.0e-324,4.3029079907779035,995.697092009203
55.0,5.0e-324,4.0930526917467125,995.9069473082344
55.5,5.0e-324,3.8934321564208663,996.1065678435609
56.0,5.0e-324,3.7035472294843634,996.2964527704977
56.5,5.0e-324,3.5229230997132137,996.4770769002681
57.0,5.0e-324,3.3511081127000817,996.6488918872818
57.5,5.0e-324,3.1876726414829952,996.8123273585
58.0,5.0e-324,3.032208012254185,996.9677919877292
58.5,5.0e-324,2.884325482462669,997.1156745175223
59.0,5.0e-324,2.7436552687553855,997.2563447312282
59.5,5.0e-324,2.6098456223262367,997.3901543776561
60.0,5.0e-324,2.482561949360809,997.5174380506222
60.5,5.0e-324,2.361485974377577,997.6385140256066
61.0,5.0e-324,2.246314944373429,997.7536850556108
61.5,5.0e-324,2.136760871783435,997.8632391282017
62.0,5.0e-324,2.032549814361965,997.9674501856227
62.5,5.0e-324,1.9334211901843388,998.0665788098016
63.0,5.0e-324,1.839127126056319,998.1608728739301
63.5,5.0e-324,1.7494318377020004,998.2505681622845
64.0,5.0e-324,1.6641110401803079,998.3358889598062
64.5,5.0e-324,1.5829513870563754,998.4170486129307
65.0,5.0e-324,1.5057499369226015,998.4942500630635
65.5,5.0e-324,1.4323136459412134,998.5676863540439
66.0,5.0e-324,1.362458885133505,998.6375411148518
66.5,5.0e-324,1.2960109812117362,998.7039890187729
67.0,5.0e-324,1.2328037798049385,998.7671962201798
67.5,5.0e-324,1.1726792299864397,998.8273207699971
68.0,5.0e-324,1.1154869890642085,998.8845130109197
68.5,5.0e-324,1.0610840466458331,998.9389159533375
69.0,5.0e-324,1.009334367038046,998.9906656329462
69.5,5.0e-324,0.9601085490866204,999.0398914508962
70.0,5.0e-324,0.9132835026060985,999.0867164973778
70.5,5.0e-324,0.8687421405902019,999.1312578593939
71.0,5.0e-324,0.8263730864333335,999.1736269135514
71.5,5.0e-324,0.7860703954310442,999.213929604554
72.0,5.0e-324,0.7477332898630983,999.2522667101211
72.5,5.0e-324,0.7112659069966699,999.2887340929882
73.0,5.0e-324,0.6765770593795818,999.3234229406053
73.5,5.0e-324,0.6435800068241767,999.3564199931614
74.0,5.0e-324,0.612192239511674,999.3878077604745
74.5,5.0e-324,0.5823352716746325,999.417664728311
75.0,5.0e-324,0.5539344453416596,999.4460655546447
75.5,5.0e-324,0.5269187436535943,999.473081256333
76.0,5.0e-324,0.5012206132843677,999.4987793867018
76.5,5.0e-324,0.47677579552249727,999.5232242044628
77.0,5.0e-324,0.45352316559084277,999.5464768343938
77.5,5.0e-324,0.4314045798028217,999.5685954201813
78.0,5.0e-324,0.4103647301729082,999.5896352698112
78.5,5.0e-324,0.39035100611785944,999.6096489938662
79.0,5.0e-324,0.37131336290285466,999.6286866370818
79.5,5.0e-324,0.3532041965035912,999.6467958034813
80.0,5.0e-324,0.3359782245714286,999.6640217754136
80.5,5.0e-324,0.31959237320392736,999.6804076267816
81.0,5.0e-324,0.30400566923766187,999.6959943307489
81.5,5.0e-324,0.2891791377939652,999.7108208621928
82.0,5.0e-324,0.2750757048214321,999.7249242951665
82.5,5.0e-324,0.261660104391481,999.7383398955968
83.0,5.0e-324,0.24889879051516464,999.7511012094725
83.5,5.0e-324,0.2367598532607204,999.7632401467263
84.0,5.0e-324,0.22521293896212266,999.7747870610253
84.5,5.0e-324,0.21422917431910524,999.7857708256668
85.0,5.0e-324,0.20378109419887416,999.7962189057874
85.5,5.0e-324,0.1938425729589671,999.8061574270266
86.0,5.0e-324,0.1843887591195398,999.8156112408653
86.5,5.0e-324,0.17539601322172255,999.8246039867644
87.0,5.0e-324,0.16684184871665877,999.8331581512695
87.5,5.0e-324,0.15870487573742054,999.8412951242491
88.0,5.0e-324,0.15096474761320008,999.8490352523728
88.5,5.0e-324,0.1436021099920344,999.8563978899933
89.0,5.0e-324,0.13659855244484406,999.8634014475408
89.5,5.0e-324,0.1299365624297704,999.8700634375565
90.0,5.0e-324,0.12359948150170094,999.8764005184853
90.5,5.0e-324,0.11757146365747764,999.8824285363299
91.0,5.0e-324,0.11183743571263567,999.8881625642744
91.5,5.0e-324,0.10638305961059133,999.893616940377
92.0,5.0e-324,0.10119469657003195,999.8988053034183
92.5,5.0e-324,0.09625937298085868,999.9037406270061
93.0,5.0e-324,0.09156474796340366,999.9084352520249
93.5,5.0e-324,0.08709908250980214,999.9129009174795
94.0,5.0e-324,0.08285121013035897,999.9171487898584
94.5,5.0e-324,0.07881050893150787,999.9211894910577
95.0,5.0e-324,0.07496687505554438,999.9250331249334
95.5,5.0e-324,0.07131069741571956,999.9286893025742
96.0,5.0e-324,0.06783283366351563,999.9321671663259
96.5,5.0e-324,0.064524587328014,999.935475412662
97.0,5.0e-324,0.06137768607018742,999.938622313919
97.5,5.0e-324,0.05838426099774377,999.941615738992
98.0,5.0e-324,0.05553682698879651,999.9444631730013
98.5,5.0e-324,0.052828263975161244,999.9471717360152
99.0,5.0e-324,0.05025179913847636,999.9497482008519
99.5,5.0e-324,0.04780098997462971,999.9521990100153
100.0,5.0e-324,0.045469708184142255,999.9545302918049
